Deyimler;Türkçe Anlamı
Ayak diremek;Bir şeyde ısrar etmek, karşı koymak, kendi kararından vazgeçmemek
Ayaklar altına almak;Önem verilmesi gereken şeyleri hiçe saymak, çiğnemek
Ayakları geri geri gitmek;Bir yere istemeye istemeye, gönülsüz gitmek
Ayaklı kütüphane;Çok şey okumuş, her sorulana cevap veren, çok şey bilen, okudukları aklında kalmış kimse
Ayak takımı;İşe yaramaz, bilgisiz, görgüsüz, kaba, serseri, değersiz kimselerin bütünü
Ayak uydurmak;Kendi gidiş ve davranışını başkasınınkine benzetmek
Ayak üstü / üzeri;Kısa süre içinde, acele olarak
Ayıkla pirincin taşını;Bir işin oldukça karışık, dolaşık, içinden çıkılması güç olduğu
Babasının hayrına;Hiçbir çıkar elde etmeden, sadece iyilik olsun diye
Bacak kadar;"Ufak tefek; kısa boylu "
Bağrına basmak;Sevgi gösterip onu koruyuculuğuna almak
Bağrı yanık;Çok dertli, acılı (kimse).
Bahtı açık;"İşleri yolunda giden; talihi açık, şansı açık"
Bahtı bağlı olmak; İşleri İstediği gibi yürümemek
Bahtı kara;Talihi kötü olan
Baklayı ağzından çıkarmak;Gizli tuttuğu şeyleri açıklamak
Bal gibi;Pekâlâ, adamakıllı
Balık istifi;Çok sıkışık , üst üste, kalabalık
Baltayı taşa vurmak;Farkında olmadan karşısındakini rahatsız edecek, kızdıracak söz söylemek
Bam teline basmak;Bir kimseyi duyarlı olduğu bir konuda kızdıracak söz söylemek, davranışta bulunmak
Bana mısın dememek;Zorlu bir işe, etkene vb’ye dayanmak, bunlardan hiç etkilenmemek
Baston yutmuş gibi;Sallanmadan, dimdik
Başa baş;Eşit, denk
Başı çekmek;Bir işte ön ayak olmak, bir işin yapılmasında öncü olmak
Başı dara düşmek;Sıkıntılı bir durum içinde olmak
Başı dik;"Onurlu; onurlu biçimde"
Başı dumanlı;Açık seçik düşünebilecek, karar verebilecek, durum da olmayan
Başı göğe ermek;"Beklenmedik bir anda büyük bir mutluluğa kavuşmak; bundan ötürü çok böbürlenmek"
Başına buyruk;Hiç kimseden izin almak gereğini duymadan, istediği gibi davranan
Başına çıkarmak;"Birinin hoşgörüsünü, yakınlığını fırsat bilip şımarıkça davranmak; tepesine çıkmak"
Başına çorap örmek;"Birini kötü duruma düşürmek için gizli plan hazırlamak; çorap örmek"
Başına kakmak;Yaptığı iyiliği, iyilik yaptığı kimsenin yüzüne karşı söyleyerek onu incitmek
Başına vur, ağzından lokmasını al;Uysal, boyun eğen
Başından atmak;Rahatsızlık veren, artık sıkıcı olan bir kimseyle ilişkiye son vermek
Başından büyük işlere girişmek;Bilgi, beceri ve yetkisini aşan işleri yapmak istemek, bunlara yeltenmek
Başından (aşağı) kaynar su (sular) dökülmek;Üzücü, utandırıcı bir olay, durum karşısında büyük bir sıkıntı duymak
Başından savmak;Onu herhangi bir bahane ile uzaklaştırmak
Başını döndürmek;Çok beğenmek, büyük bir ilgi duymak
Başının etini yemek;"Birisinden ısrarla, bıkkınlık verecek ölçüde bir şeyler istemek; kafasının etini yemek"
Başını şişirmek;Çok konuşmak ya da gürültü vb. ederek başının ağrımasına yol açmak
Başını taşa vurmak;Bir fırsatı kaçırınca ya da başarısızlığa uğrayınca çok üzülmek
Başını yakmak ;Onu tehlikeli bir duruma sokmak, zarar sokmak
Başı sıkışmak;Herhangi bir güçlükle karşılaşmak
Başı sonu belli değil;Çok düzensiz, karmakarışık
Baş kaldırmak;Ayaklanmak, isyan etmek, karşı gelmek
Baştan savma;Özen göstermeden, gelişigüzel bir biçimde yapılan
Bel bağlamak;Ona güvenmek, inanmak
Belini doğrultmak;İşlerini düzene koymak
Benzi atmak;Korkudan ya da heyecandan yüzü sararmak
Beş para etmez;Hiçbir değeri yok
Beş paralık olmak;Ayıpları ortaya döküldüğü için küçük düşmek
Beş parasız;Yoksul, parasız
Beyninden vurulmuşa dönmek;Kötü bir haber alıp, hiçbir şey düşünmeyecek duruma gelmek
Beyni sulanmak;sağlıklı düşünebilme gücünü yitirmek
Bıçak kemiğe dayanmak;Sıkıntı, zahmet, artık dayanılamayacak bir duruma gelmek
Bıçak sırtı; Çok az fark, zaman
Bıyık altında gülmek;Birinin içinde bulunduğu duruma alay ederek, belli etmeden gülmek
Biçilmiş kaftan;Bir işe, kimseye en uygun , en elverişli olan
Bildiğini okumak;Başkalarının sözüne kulak asmadan istediği gibi davranmak
Bileğinin hakkıyla;Kendi çalışması ve gücüyle.
Bin dereden su getirmek;Birini kandırmak için bir yığın gerekçe ileri sürmek, aldatıcı sözler söylemek
Bindiği dalı kesmek;Yarar sağladığı bir şeyi ortadan kaldırmak, kendisi için zararlı duruma getirmek
Bir arpa boyu yol gitmek;Önemsiz denecek kadar az ilerleme sağlamak
Bir ayağı çukurda;Çok yaşlanmış, ölüme epeyce yakın
Bir baltaya sap olmak;Belirli bir iş tutmak, bir meslek sahibi olmak
Bir bardak suda fırtına koparmak;Önemsiz denecek kadar küçük bir sorunu büyütüp, kavga konusu yapmak
Bir çuval inciri berbat etmek;Yolunda giden bir işi, yanlış bir hareketle ya da sözle bozmak
Bir dediğini iki etmemek;her istediğini yerine getirmek
Bir deri bir kemik;Vücutça çok zayıf
Bir eli yağda bir eli balda;Zenginlik, bolluk içinde
Bir iğne bir iplik kalmak;Bir üzüntü, hastalık vb. nedeniyle çok zayıflamak
Bir kaşık suda boğmak;"Bir kimseye çok kızmak; kin duymak"
Bir kulağından girip öteki kulağından çıkmak;Söylenilenlere önem vermemek, hiç uymamak, onları dikkate almamak
Bir tahtası eksik;Pek akıllı olmayan
Bir taşla iki kuş vurmak;Bir davranışla, yararlı iki sonuç elde etmek
Bir yaşına daha girmek;Şaşılacak yepyeni bir durumla karşılaşmak
Boğazına düğümlenmek;Heyecan, korku, vb. yüzünden söyleyeceklerini söylememek
Boğazından kesmek;Para arttırmak için yiyeceğinden kısıntı yapmak
Bol keseden;Ölçüsüz olarak
Bol keseden atmak;Yerine getirilmesi güç vaatler bulunmak
Borç harç;Borçlanarak, borca girerek
Borusu ötmek;Nüfuzu olmak, sözü dinlenmek, sözü geçmek
Boş atıp dolu tutmak;Umutsuz gibi görünen bir işten olumlu sonuç almak
Boş bulunmak;Dikkatsiz ve dalgın bir durumda bulunmak
Boş gezenin boş kalfası;İşsiz güçsüz dolaşan kimse
Boş vermek;önem vermemek, aldırmamak
Boy göstermek;Gösteriş olsun diye ortalıkta görünmek
Boynu bükük;Acınacak, zavallı kimse
Boynum kıldan ince;Haksız olduğum anlaşılırsa, verilecek her ceza ya boyun eğeceğim
Boynunun borcu;Bir kişinin yapmak zorunda olduğu iş
Boynuz isterken kulaktan olmak;Daha iyi bir şey elde etmek isterken elindekini de yitirmek
Boyundan büyük işlere kalkışmak;Başaramayacağı işlere kalkışmak
Boyun eğmek;Güçlü birinin isteğini zorla ya da istemeyerek kabul etmek
Boyunun ölçüsünü almak;Giriştiği bir işte başarısızlığa uğrayıp beceriksizliğini ya da yetersizliğini anlamak
Bozuk para gibi harcamak;Bir kimsenin değerini sıfıra indirmek, onu başkalarının yanında küçük düşürmek
Bozuntuya vermemek;Olup bitenleri anlamamış, görmemiş, söylenenleri duymamış gibi davranmak, durumu İdare etmek
Bulunmaz Hint kumaşı;Az bulunur, çok değerli bir şey ya da kimse
Buluttan nem kapmak;En küçük bir şeyden bile alınmak, çok alıngan olmak
Bu ne perhiz, bu ne lahana turşusu;Sözleri ve davranışları birbirini tutmuyor
Burnundan getirmek;Birini bir şeyi yaptığına yapacağına pişman etmek
Burnundan kıl aldırmamak;Kendisine hiçbir söz söyletmemek, huysuz ve gururlu olmak, eleştiriye tahammülü olmamak
Burnundan solumak;Çok öfkelenmek, sinirlenmek
Burnunda tütmek;çok özlemek, istemek, aramak
Burnunun dikine gitmek;Başkalarının öğütlerine kulak asmayıp kendi bildiği gibi davranmak
Burnunu sokmak;Kendisini ilgilendirmeyen işe karışmak
Burun kıvırmak;beğenmemek, küçümsemek
Buz üstüne yazı yazmak;Süresi ve etkisi pek az olan bir iş yapmak, sözleri etkisiz kalmak
Cadı kazanı;Fesadın ve dedikodunun çok olduğu
