Deyimler;Türkçe Anlamı
Evdeki hesap çarşıya uymamak;Önceden tasarlanan, düşünülen bir iş umulduğu gibi gitmemek, başka bir yönde gelişmek
Eyvallah etmemek;Minnet altına girip boyun eğmemek
Faka basmak;Tuzağa düşmek, aldatılmak
Falso vermek;Açık vermek veya kusurlu bir durumu olmak, kusuru açığa çıkmak
Fareler cirit oynamak;Bir yer ıssız olmak, kimseler bulunmamak
Feleğin çemberinden geçmek;Hayatta çok günler görmüş, acı tatlı olaylar yaşayıp tecrübe kazanmış, olgunlaşmış
Fellik fellik aramak;Telâşla, hemen her köşeye bakarak heyecanla aramak
Ferman dinlememek;"Kural, yasa, söz dinlememek; hiçbir yerden buyruk almamak"
Fırıldak çevirmek;Düzen kurmak, hileli iş görmek
Fink atmak;Hiçbir şeye aldırmadan gönlünce gezip eğlenmek, şurada burada oynayıp zıplamak
Fiskos etmek;Birilerinin bulunduğu bir yerde birkaç kişi gizlice ve alçak sesle konuşmak
Fitne sokmak;İnsanları birbirine düşürecek, aralarını bozacak davranışta bulunmak, sözler sarf etmek
Fiyat biçmek;Bir şeyin değerini belirlemek, para karşılığını tespit etmek
Fol yok yumurta yok;Ortada (bir konu ile ilgili) hiçbir belirti olmadığı hâlde varmış gibi bir kuşkuya düşmek
Foyası meydana çıkmak;Yalanı, dolanı, hilesi, kötü niteliği, kusuru ortaya çıkmak
Gafil avlamak / avlanmak;Bir kimseyi hazırlıksız ve habersiz bir anında yakalamak, güç duruma düşürmek, güç durumundan yararlanmak
Gaflete düşmek;Dalgın, dikkatsiz, uyuşuk olmak
Gam yememek;Kaygılanmamak, tasa etmemek, üzülmemek
Gani gönüllü;Cömert, eli bol, vermekten kaçınmayan
Gâvur inadı;Yok edilemeyen, önüne geçilemeyen, yumuşatılamayan inat
Gece kuşu;Geceleri gezip dolaşan, bunu huy edinen kimse
Geceyi gündüze katmak;"Ara vermeden, devamlı çalışmak; büyük çaba göstermek"
Geçti Bor’un pazarı (sür eşeğini Niğde`ye);fırsatı kaçırmak
Gel keyfim gel;Bir durumdan duyulan memnunluk, işlerin yolunda gitmesi
Gel zaman git zaman;Aradan epeyce bir zaman geçtikten sonra
Gemi azıya almak;Söz dinlemez olmak
Geri durmamak;Bir işe girmekten kaçınmamak, o işe girişmek
Geri kafalı;Yenilikleri kabul etmeyen, bağnaz, kafası hurafelerle dolu
Gık dememek;Hiç sesini çıkarmamak, yakınmamak, karşı çıkmamak
Gına gelmek;Usanmak, bıkmak
Gırtlağına kadar borca girmek;Pek çok, ödenmesi zor olacak şekilde borçlanmak
Göğsü kabarmak; İftihar etmek, övünç duymak
Göğüs germek;Bir zorluğa dayanmak, karşı koymak
Göklere çıkarmak;Aşırı ölçüde övmek
Gölge düşürmek;Bir şeyin önemini ve değerini azaltacak, ününü düşürecek işler yapmak
Gönlü bol;Yeterli imkânlardan mahrum olmasına rağmen eli açık davranan, cömert
Gönlünden kopmak;Birine iyilik yapma ya da bir şeyi verme isteği, içinde aniden doğuvermek
Gönlü tok;Fazla para ve mal istemeyen, zorunlu ihtiyacı kadarı ile yetinen, imkânları az da olsa bunu hissettirmeyen, bu durumda dahi cömert olan
Gönül almak;Kırılan, gücenen bir kimseyi güzel söz ve davranışlarla yeniden hoşnut etmek
Gönüllü gönülsüz;Pek de istekli olmayarak
Gönül yapmak;Hoşa giden davranışlarla veya sözle birinin kırgınlığını gidermek
Gövde gösterisi;Belli bir amaç için güçlerini birleştiren kalabalıkların yaptıkları gösteri
Göz açamamak;İşlerinin yoğun oluşu sebebiyle başka bir şeyle ilgilenme imkânı bulamamak
Göz açtırmamak;Baskı altında bulundurarak başka bir şeyle uğraşmasına fırsat vermemek
Göz atmak;"Kısaca, dikkatli değil de şöyle bir bakıvermek; üzerinde fazla durmadan elden geçirmek"
Göz boyamak; Gösterişle aldatmak, bir şeyi iyi gibi göstermek, kandırmak, yanıltmak
Göz bebeği;Pek değerli, sevgili, çok önem verilen (kimse)
Gözdağı vermek;Korkutmak, tehdit etmek, istediğini yaptırmak için yıldırmak
Gözden çıkarmak;Bir malın elinden çıkmasına katlanmak, bir şeyden vazgeçmek ve yokluğuna razı olmak
Gözden düşmek;Kendisine daha önce duyulan sevgi ve ilgiyi kaybetmek
Gözden ırak olan gönülden de ırak olur;Ayrı düşenlerin arasındaki sevgi de zamanla azalır
Gözde tütmek;Çok özlemek, hasret çekmek
Göz dikmek;Bir şeyi ele geçirmek isteğinde olmak
Göze almak;Bir iş nedeniyle karşılaşabileceği her türlü zararı ve tehlikeyi önceden kabullenmek
Göze batmak;Başkalarını aşırı söz ve davranışlarıyla tedirgin etmek
Göze çarpmak;Görünüşü ile dikkati üzerine çekmek
Göze girmek;Yetenekleri ve davranışları ile çevresinde, bulunduğu yerde sevgi ve güven kazanmak
Göze göz, dişe diş;"Misilleme; aynı biçimde kötülük yapıp öç alma, kötülüğü yapandan acısını çıkarma"
Göz göre göre;Apaçık şekilde, herkesin gözü önünde
Göz gözü görmemek;Dumandan, karanlıktan ya da yoğun tozdan hiçbir şey görülmez olmak
Göz kararı;Gözle oranlanarak belirtilen miktar, gözle yapılan ölçme ya da oranlama
Göz kırpmamak;Hiç uyumamak
Göz kulak olmak;Korumak, bakmak, gözetmek
Gözleri fal taşı gibi açılmak;Hayret, şaşkınlık ve öfke gibi sebeplerle gözleri iri iri açılmış olmak
Gözleri kan çanağına dönmek;Uykusuzluk, ağlama, kızgınlık ya da bir şeyin kaçması sebebiyle gözlerin çok kızarmış olması
Gözlerini (gözünü) kan bürümek;"Çok öfkeli, kinli olmak; her kötülüğü yapacak hâle gelmek"
Gözlerinin içi gülmek;Çok sevindiğini gözlerinden ve yüzünden belli etmek
Gözleri yollarda kalmak;Özlemle beklemek
Göz ucuyla bakmak;Belli etmemeye çalışarak, başını çevirmeden göz kenarı ile yandan bakmak
Gözü açık;Uyanık, kurnaz, çıkarlarını iyi kollayan, becerikli, zeki
Gözü açık gitmek;Çok istediği şeylere kavuşamadan ölmek
Gözü açılmak;Yararlıyı yararsızı, iyiyi kötüyü ayırt edebilir duruma gelmek
Gözü arkada kalmak;Kendisi ayrıldıktan sonra, bıraktığı şey veya kimse ile ilgili tedirginliği sürmek, merak etmek
Gözü gibi sakınmak;Bir şeye aşırı derecede ilgi duymak, onu koruyup gözetmek, dikkatle muhafaza etmek
Gözü hiçbir şey görmemek;Heyecana, öfkeye ya da önem verdiği bir işe kapılıp başka hiçbir şeyle uğraşamaz duruma gelmek
Gözü ısırmak;Bir kimseyi sanki tanır gibi olmak
Gözü kara;Cesur, atak, korkusuz, tehlikeli işlere tereddüt etmeden girebilen
Gözünde büyümek;Gözünde büyümek
Gözüne girmek;Birinin sevgi ve ilgisini kazanmak
Gözünü daldan budaktan esirgememek;Tehlikeli işlere girişmekten çekinmemek
Gözünü dört açmak;Bir hileye düşmemek, aldanmamak için çok dikkatli olmak
Gözünü kan bürümek;Birisini öldürecek kadar öfkelenmek
Gözünü korkutmak;Yıldırmak, karşı duramaz hâle getirmek
Gözünün önünden gitmemek;Unutamamak, her an görür gibi olmak
Gözünün yaşına bakmamak;Hiç acımamak, merhamet etmemek
Gözü pek;Korkusuz, atılgan, cesur, tehlikelere aldırmayan
Gözü sulu;En küçük sevinç ya da üzüntü karşısında hemen ağlayıveren, gözyaşlarını tutamayan
Gözü tok;Elinde imkânlar olsun olmasın, mal-mülk veya paraya düşkün olmayan, cömert
Gözü tutmak;Güvenmek, beğenmek
Göz yummak;Kabahatlerini, kusurlarını hoş karşılamak, görmezlikten gelmek, bağışlamak
Göz yummamak; Hoş görmemek, bağışlamamak
Gururunu okşamak;Bir kimseyi yüzüne karşı överek, becerilerini söyleyerek duygulandırmak
Gücüne gitmek;Bir söz, bir davranış bir kimsenin onuruna dokunmak, o kimseye ağır gelmek
Güllük gülistanlık;"Sorunları bulunmayan; neşe, bolluk ve huzur içinde olan yer"
Günahını vermez;Çok cimri, eli sıkı
Gün görmek;Bolluk, mutluluk, esenlik içinde huzurlu günler geçirmek
Gün görmüş;Başından nice işler geçmiş, tecrübeli, görüp geçirmiş, çok yaşamış
Gün ışığına çıkmak;Aydınlanmak, açıklığa kavuşmak, anlaşılır olmak
Gününü gün etmek;Eline geçen imkânları değerlendirmek, hiçbir şeyi dert edinmeyip hoşça vakit geçirmek
Güvendiği dağlara kar yağmak;Güvendiği kimselerden yardım alamamak, güvendiği bir şeyin işe yaramadığı anlaşılmak
Güven vermek;Kendisinin güvenilir bir kişi olduğu, kendisine itimat edilebileceği duygusunu uyandırmak
Haber uçurmak;Çabucak, gizlice haber göndermek
Hacet kalmamak;Gereği olmamak, lüzumu kalmamak
Haddini bildirmek;etkisi dışındaki işlere karıştığı için sert bir karşılık vererek onu cezalandırmak, yola getirmek, uslandırmak, yetki sınırını bildirmek
Hafife almak; Küçümsemek, önem vermemek
Hakkı geçmek; Birisinin payından bir başkası almış olmak
Hakkından gelmek;Güç bir işi başarı ile sonuçlandırmak
Hakkını vermek;Bir şeyin lâyıkıyla yapılması için ne gerekiyorsa ondan kaçınmamak
Hakkını yemek;Birinin hakkı olan şeyi vermemek, onu kendisine maletmek
Hâle yola koymak;Düzenlemek, tertiplemek, iyi işler bir duruma getirmek
Hâli vakti yerinde;Zengin, oldukça varlıklı, para durumu iyi
Halka verir talkını kendi yutar salkımı;Kendi verdiği öğütlere kendisi uymaz
Hangi dağda kurt öldü;Kendisinden hiç umulmayan, beklenilmeyen bir kimsenin olumlu davranışı görüldüğünde
Hangi rüzgâr attı;uzun süre bir yerde görünmeyen kimse için kullanılır
Hangi taşı kaldırsan altından çıkar;Hemen her işte parmağı vardır
Hanım evlâdı;Nazlı büyütülmüş, zora gelmeyen, çıtkırıldım kimse
Hapı yutmak;Kötü bir duruma düşmek, zarar ve ziyana uğramak
Haram olmak;Bir şeyden gerektiği gibi yararlanamaz olmak
Harfi harfine;Tastamam, uygun, tıpatıp, gerçekte olduğu gibi
Har vurup harman savurmak;"Hesapsızca, düşüncesizce harcamak; malını, parasını ölçüsüzce, bol bol harcayıp tüketmek"
Hastası olmak;Bir şeye çok düşkün olmak
Hatırı kalmak;Gücenmek, kırılmak
Hava basmak;Büyüklenmek, kibirlenmek, olduğundan fazla görünmeye çalışmak
Havada kalmak;Sonuca bağlanamamak, bir iddia, dayanaksız olduğundan ispat edilememek
Havadan sudan konuşmak;Öylesine, gelişigüzel, rastgele konuşmak
Hava hoş;Şu ya da bu şekilde olması arasında bir fark olmamak
Havanda su dövmek;Bir işle boşuna uğraşmak
Hayatını kazanmak;Çalışıp elde ettiği para ile geçimini sağlamak
Hayat memat meselesi;Sonucu çok tehlikeli olan, ölüm kokan bir durum
Hazıra konmak;Hiçbir emek sarf etmeden, çaba göstermeden başkasının emeği ile ortaya çıkmış olan şeyden yararlanmak
Helâl süt emmiş olmak; İyi huylu, doğru yoldan sapmayan, temiz bir kişi
Hem suçlu hem güçlü;Gerçekte kendisi suçlu olduğu hâlde suç işlememiş gibi davranan ve karşısındakini suçlamaya çalışan kimse
Her kafadan bir ses (çıkmak);Bir konu üzerinde herkesin istediği gibi, rastgele konuşması
Hesabını bilmek;Boş yere para harcamamak, tutumlu davranmak
Hesabını görmek;Alacağını ödeyip ilişkisini kesmek
Hevesi kursağında kalmak;Çok istediği, imrendiği, kavuşmak dilediği şeyi elde edememek
Heyheyleri tutmak;Çok kızıp sinirlenmek
Hık demiş burnundan düşmüş;çok benzemek
Hır çıkarmak;Kavga, gürültü, patırtı ve olaya sebep olmak
Hızır gibi yetişmek;Dara düştüğü, çok sıkıştığı, çaresiz kaldığı bir zaman da, beklemediği bir kişi yardımına yetişmek
Hiçe saymak;Hiç önem ve değer vermemek
Hizaya gelmek;"Aykırı, yanlış davranışlardan vazgeçmek; doğru yola gelmek, düzelmek"
Hop oturup hop kalkmak;a heyecanından ya da öfkesinden yerinde duramaz olmak
Hüküm giymek;Mahkemece ya da birileri tarafından kendisine ceza verilmek
Hüsrana uğramak;Bir konuda beklenilen sonuca ulaşamamaktan dolayı çok üzülmek, acı çekmek
Icığını cıcığını çıkarmak;Bir meseleyi en ince ayrıntılarına kadar soruşturmak, incelemek
Ikınıp sıkınmak;Bir işi yapabilmek için kendini çok zorlamak
Irağı yakın etmek;Yapılması, gerçekleşmesi zor olan işleri, tüm güçlükleri yenerek gerçekleştirmek
Isıtıp ısıtıp önüne koymak;Daha önce meydana gelmiş bir olayı ya da bir işi bir düşünceyi yeniden, sık sık tekrarlamak
Iskartaya çıkarmak;İşi yaramaz, değersiz bularak bir yana atmak
Işık tutmak;Bilgisiyle, düşüncesiyle bir konuya açıklık getirmek, tutacağı yolu göstermek
İcabına bakmak;Gereğini yerine getirmek
İcat çıkarmak;Hoşa gitmeyecek bir huy edinmek, hoş olmayan bir davranışta bulunmak
İçi açılmak;Sıkıntısı dağılıp gitmek, ferahlamak
İçi cız etmek;Ansızın içi sızlamak, çok üzülmek
İçi dışı bir (olmak); iki yüzlü davranmayan, düşündüğünü açıkça söyleyen
İçi geçmek; İstemediği halde uyuya kalmak
İçi içine sığmamak;Çok heyecanlanmak, coşkunluk duymak ve sevincini belli etmekten kendini alamamak
İçi kan ağlamak;" İçten, büyük bir üzüntü duymak; dıştan belli etmeyerek çok acımak"
İçine doğmak; bir işin olduğunu ya da olacağını sezinlemek, tahmin etmek
İçine işlemek;Duygulanmak, etkilenmek
İçine kapanmak;Duygularını kimseye açmamak, çevresindeki kişilerle ilişkisini kesmek, yalnızlığa gömülmek
İçine kurt düşmek;Kuşkulanmak, kendisine zarar geleceğinden şüphe etmek
İçine sinmemek; İçi rahat etmemek, yaptığı şeyden memnun olmamak
İçini dökmek;Dertlerini, sıkıntılarını, üzüntülerini anlatmak
İçini kemirmek;Bir üzüntü ve düşünce dolayısıyla rahatsızlık duymak
İçi yanmak;Büyük bir acı sebebiyle çok fazla üzülmek
İçler acısı;Oldukça üzücü, çok acıklı
İçli dışlı olmak;Teklifsiz, çok samimi olmak
İçtikleri su ayrı gitmemek;dost, samimi arkadaş olmak
İğne atsan yere düşmez; Çok kalabalık, yürünecek gibi değil.
İğne ile kuyu kazmak;Zor denecek bir işi yetersiz araç ve gereçlerle başarmaya çalışmak
İğne ipliğe dönmek;Aşırı derecede zayıflamak, kilo vermek
İki arada bir derede (kalmak);Sıkışık, zor şartlar altında (kalmak)
İki ayağını bir pabuca sokmak;Bir kimseyi, bir işi yapması için zorlamak, sıkıntıya sokmak
İki cihanda yüzü ak olmak;Doğru ve faziletli yaşayıp dünya ve ahirette mükafat görmek
İki dirhem bir çekirdek;Çok şık, özenli giyinmiş (kimse)
İki eli kanda olsa;Ne kadar önemli olursa olsun, elindeki iş hiç bırakılamayacak derecede olsa bile
İki eli yakasında olmak;"hesap gününde ondan davacı olmak; hakkını istemek"
İki gözü iki çeşme;Sürekli, çok ağlayarak
İkili oynamak;Birbirine karşı olanlardan hem birini, hem ötekini çıkarı için destelemek
İki paralık etmek;Değerini, onurunu çok düşürmek
İki yakası bir araya gelmemek;Geçim sıkıntısı içinde olmak ve borçtan kurtulamamak, gelir ve giderini denkleştirememek
İleri geri konuşmak;Yersiz, kırıcı, yaralayıcı biçimde konuşmak
İnce eleyip sık dokumak;Titizlik göstermek, bir şeyi en ince ayrıntılarına kadar araştırmak, gözden geçirmek
İn cin top oynamak; Issız, sessiz olmak, bir yerde hiçbir canlı yaratık bulunmamak
İncir çekirdeğini doldurmaz;Çok az veya pek önemsiz
İpe un sermek; İstenilen işi yapmamak için birtakım bahaneler, sebepler ileri sürmek, güçlük çıkarmak, engeller göstermek
İpin ucunu kaçırmak;"Bir yeri yönetmede veya bir şeyi kullanmada gereken ölçüyü kaçırıp, artık duruma hakim olamamak; çıkmaza girmek"
İpiyle kuyuya inilmez;Kendisine güvenilmez, ona güvenilerek bir işe girilmez
İple çekmek;Zamanın gelmesini sabırsızlıkla beklemek, çok istemek
İstifini bozmamak;Bir olay karşısında aldırış etmemek, durum ve davranışını hiç değiştirmemek
İş başa düşmek;Beklediği yardım gelmeyince, kendi işini kendisi yapmak zorunda kalmak
İş çığırından çıkmak;Bir iş asıl amaçtan çıkarak düzelmesi güç bir durum almak, bir bozukluk ve kargaşalık baş göstermek
İşi düşmek;Birinin yardımına ihtiyaç duymak
İşe koşmak;Birini bir iş yapmak üzere görevlendirmek, göndermek
İşi başından aşmak;Pek çok işi olmak
İşi tıkırında olmak;İşi çok uygun ve iyi olmak
İşi yokuşa sürmek;Yapılabilir, görülebilir işi yapmamak için güçlük çıkarmak
İş sarpa sarmak;" İş, içinden çıkılması zor bir durum almak; engellerle karşılaşmak"
İte kaka;Zorla, güçlükle
İzinden yürümek;Birine içten bağlanarak onun başladığı işi aynı anlayışla sürdürmek, fikirlerini ve hareketlerini aynen benimsemek
Jeton düşmek;Anlamak, kavramak
Jetonu geç düşmek;Bir konuyu, sorunu ya da düşünceyi geç ve güç anlamak
Kabak (birinin) başına (başında) patlamak;"Birçok kimsenin ilgili olduğu olaydan yalnızca bir kimse zararlı çıkmak; beklenmediği halde, bir işin zararlı sonucuna katlanmak"
Kabak tadı vermek;Bıktırmak, usanç vermek
Kabına sığmamak;Sevinç ve heyecanından taşkın hareketlerde bulunmak
Kabuğuna çekilmek;Tek başına kalmak, dış dünya ile ilgisini kesmek, kimse ile görüşmemek
Kafadan atmak;Bir konu üzerinde inceleme yapmadan, rast gele konuşmak
Kafadan kontak;Düşüncesiz, delice işler yapan, aklı kıt
Kafa dengi;Davranışları, anlayışları, dünya görüşleri birbirine uymuş kimse
Kafa patlatmak;Bir konu üzerinde pek çok düşünmek, zihin yormak
Kafa tutmak;Karşı gelmek, direnmek, boyun eğmemek
Kafası kazan (gibi) olmak;Zihni yorulmak
Kafası kızmak;Çok öfkelenip sinirlenmek
Kafasına dank etmek;Çoktandır anlayamadığı bir meseleyi bir olay sebebiyle birden bire kavramak, anlamak
Kafasına koymak;Bir şeyi yapmaya kararlı olup zamanını beklemek
Kafası yerinde olmamak;O anda kafası çok yorgun olmak
Kağıda dökmek;Düşüncelerini, duygularını yazıya geçirmek
Kağıt üzerinde kalmak;Yapılması kararlaştırıldığı halde uygulanmamak
Kalbini kırmak;İncitmek, küstürecek kadar üzmek
Kalburla su taşımak;Verimsiz, verim alınamayacak, olmayacak bir işle uğraşmak
Kalburüstü;Benzerleri arasında üstün, seçkin, görünür
Kale almamak;Önemsiz görmek, sözünü etmeye değer bulmamak
Kalıbını basmak;Bir şeye bütün içtenliği ile güvenmek, bir şeyi doğrulamak
Kalıbının adamı olmamak;Görünüşünden bekleneni yapamaz olmak, umulanı ortaya koymamak
Kalıptan kalıba girmek;Çıkar sağlamak için değişik kılıklara girmek
Kalp kazanmak;Güzel bir davranış ve sözle birilerinin sevgisini kazanmak, ilgisini çekmek
Kambersiz düğün olmaz;Bir toplantı, eğlence veya iş, en çok ilgili kişiler bulunmadan yapılırsa tadı çıkmaz
Kambur üstüne kambur;Sıkıntı üstüne sıkıntı, terslik üstüne terslik
Kanadı altına almak;Korumak, gözetmek, himayesi altına almak
Kan ağlamak;Büyük bir üzüntü içinde olup yakınmak
Kanat germek;Birini korumak, gözetimi altına almak
Kan başına sıçramak;Çok sinirlenmek, öfkelenmek
Kan gövdeyi götürmek;Çok kan akıtılmış olmak, çok insan öldürülmek
Kanı ağır;Davranışları yavaş, sevimsiz, konuşması insana sıkıntı veren, hoşa gitmeyen kimse
Kanı bozuk;Soysuz, iğrenç işler yapmaktan geri durmayan
Kanı kaynamak;Hareketli, coşkun olma
Kanı pahasına;Yaralanmayı veya öldürülmeyi göze alarak
Kanıyla ödemek;Yaptığı işin cezasını hayatıyla ödemek
Kan kusmak;Çok eziyet, sıkıntı çekmek
Kan kusturmak;Çok büyük sıkıntı ve eziyet çektirmek
Kanlı bıçaklı olmak;Birbirlerinin kanını dökecek, birbirlerini öldürecek kadar birbirlerine düşman olmak
Kanlı canlı;Sağlıklı, sapasağlam, dinç ve diri olduğu yüzünden belli olan
Kan ter içinde kalmak;Çok yorgun, terli, bitkin ve perişan durumda olmak
Kapağı atmak;Sıkıntılı bir yerden kurtulup rahat edeceği bir yere kavuşmak
Kapı dışarı etmek;Kovmak, dışarı atmak
Kapısını aşındırmak;İstediğini elde edinceye kadar birinin yanına çok sık gidip gelmek
Kara çalmak;Birine iftira etmek, leke sürmek, haksız yere suçlamak
Kara gün dostu;Yalnız iyi günlerde değil sıkıntılı, üzücü, düşkünlük günlerinde de insanın yardımına koşan, dostunu yalnız bırakmayan kimse
Karalar bağlamak;Bir felaket dolayısıyla yas tutmak
Karaman’ın koyunu sonra çıkar oyunu;Dış görünüşe aldanmamalı, bir kişi ya da iş olağan görünebilir, ancak altından neler çıkabileceği hiç belli olmaz, o sonra görünür.
Karda gezip izini belli etmemek;Kimsenin sezemeyeceği biçimde gizli bir iş çevirmek, uygunsuz işler yapmak
Kargacık burgacık;Eğri büğrü, kötü, okunması güç, çarpık, düzensiz
Kardeş payı yapmak;Eşit oranlarda bölmek, paylaştırmak
Karınca duası gibi;Çok küçük, sık ve okunaksız, birbirine girmiş
Karınca yuvası gibi kaynamak;Çok kalabalık ve hareketli olmak
Karınca kararınca;Az, önemsiz ve küçük de olsa, gücü yettiği kadar, elinden geldiğince
Karman çorman;Karmakarışık, çok karışık, düzensiz
Karnı geniş;Hiçbir şeyi tasa etmeyen, titizlenmeyen, gamsız
Karnı tok;sözlerine kanmamak, önem vermemek
Karnı tok sırtı pek;Geçimi iyi, hali vakti yerinde, para sıkıntısı olmayan
Karnı zil çalmak;Çok acıkmış olmak
Kaş göz etmek;Kaş ve göz hareketleriyle bir işaret vermeye, istediğini bu yolla anlatmaya çalışmak
Kaşıkla yedirip, sapıyla göz çıkarmak;Bir iyilik yaptıktan sonra, bu iyiliği hiçe indirecek bir kötülük yapmak
Kaşla göz arasında;Çok çabuk, kimsenin sezmesine fırsat vermeyecek kadar az bir zaman içinde
Kaş yapayım derken göz çıkarmak;İşi düzelteyim, bir iyilik yapayım derken büsbütün bozmak ve büyük bir zarar vermek
Katı yürekli;Acımasız, merhametsiz
Kayıtsız kalmak;Umursamamak, önem vermemek, ilgi göstermemek
Kazan kaldırmak;Yönetime karşı topluca karşı gelmek, baş kaldırmak
Kazık yutmuş gibi;Dimdik
Kazın ayağı öyle değil;Durum veya meselenin sanılan gibi olmaması
Keçileri kaçırmak;Düşünme yeteneğini kaybetmek, aklını oynatmak, delirmek
Kedi ciğere bakar gibi (bakmak);İmrenerek, iştahla, ele geçirme isteği ile bakmak
Kedi gibi dört ayak üstüne düşmek;En zor, en tehlikeli durumdan zarar görmeden kurtulmak
Kedi olalı bir fare tuttu;İlk defa, neden sonra kendisinden beklenen bir iş yapabildi
Kefeni yırtmak;Ağır bir hasta ölüm tehlikesini atlamak
Kel başa şimşir tarak;Pek çok ihtiyaç giderilmeyi beklerken gereksiz özenti ve gösteriş
Keli görünmek;Bir kabahati, kusuru ortaya çıkmak
Kelle götürür gibi;Gerekli olmayan bir acelecilikle, bir şey ulaştıracakmış gibi çok hızlı koşarak
Kelleyi koltuğuna almak;Ölümü göze alarak bir işe kalkışmak
Ölümü göze alarak bir işe kalkışmak;Tutumlu davranmak, açlığa ve susuzluğa katlanmak
Kem küm etmek;Anlatmak istediğini açık seçik ifade edememek, bir soru karşısında bocalayıp cevap bulamayarak anlamsız sözler söylemek
Kendi halinde (olmak);Sessiz, hiçbir şeye karışmayan, karışmak istemeyen, sakin (kimse)
Kendi kendine gelin güvey olmak;Başkalarının ne diyeceğini hesaba katmadan, bir işi sadece kendi başına tasarlayıp olmuş sayarak sevinmek
Kendi kendini yemek;İstediği iş olmadı diye gizli gizli üzülmek, kaygı duymak
Kendinden geçmek;Kendini kaybetmek, bayılmak, bilinci işlemez olmak
Kendinden pay biçmek;Bir durumu kendi durumu ile karşılaştırmak, değerlendirmek
Kendine yedirememek;Yapılan bir işi onur kırıcı görüp, kişiliğine dokunmuş sayarak tepki göstermek
Kendine yontmak;Ortaya çıkan fırsattan yararlanıp başkalarını düşünmeyerek hep kendi çıkarını sağlayacak yönde hareket etmek
Kendini ağır satmak;Kendisinden yapılması istenen işi, birçok ricadan, birçok ısrardan sonra yapmayı kabul etmek
Kendini alamamak;İstemeyerek bir işi yapmak durumunda kalmak, yapmamayı edememek, kendini tutamayıp yapmak
Kendini ateşe atmak;Bilerek zor ve tehlikeli bir işe girişmek
Kendini dev aynasında görmek;"Kendisini olduğundan büyük bir adam sanmak; üstün, yetenekli, güçlü görmek"
Kendini kaptırmak;Bir şeyin etkisinden kendini kurtaramamak
Kendini toplamak;Kötü, bozuk olan durumunu düzeltmek
Kendini tutamamak;Bir durum karşısında sessiz ve heyecana kapılmadan durmayı başaramamak, kendine hakim olamamak
Kendini vermek;Bir şeye bütün varlığıyla bağlanmak, başka şeylerle ilgisini kesip yalnızca onunla ilgilenmek, bir şeyi tüm gücüyle yapmaya çalışmak
Kendi yağıyla kavrulmak;"Elindekiyle yetinmeye, kimseye muhtaç olmadan yaşamaya çalışmak; ihtiyaçlarını kendi karşılayarak kimseden yardım istememek"
Kene gibi yapışmak;"akasını bir türlü bırakmamak; istenmediği hâlde, çıkar sağladığı için birinin peşini bırakmamak"
Kesenin ağzını açmak;Bol para harcamaya başlamak
Keyfinin kahyası (olmamak);Birisine karışmaya hakkı olmamak, istediği gibi yaşamasına engel olmamak
Keyif çatmak;Neşeli olmak, hoş ve eğlenceli zaman geçirmek
Keyif ehli;Rahatına düşkün kimse, zevkinden bol bol yararlanan
Kılı kırk yarmak;Titizlenmek, çok dikkat ederek en ince ayrıntılarına kadar incelemek, önemle üstünde durmak
Kılına dokunmamak;Bir kimseye, zarar verebilecek en ufak davranıştan bile kaçınmak
Kılını bile kıpırdatmamak;Bir durum karşısında en küçük bir tepki bile göstermemek, ilgisiz kalmak, harekete geçmemek
Kıl payı (kalmak);Çok az, az bir fark (kalmak)
Kırk dereden su getirmek;Birini kandırmak için çok dolambaçlı gerekçeler ileri sürmek, ikna edebilmek için çok uğraşmak
Kırklara kırışmak;Bir kimse artık ortalıkta görünmez olmak
Kırk tarakta bezi bulunmak;Birbirinden farklı birçok işle uğraşmak, birçok ilişkisi bulunmak, gizli ilişkileri olmak
Kısmetini (nimetini) ayağıyla tepmek;"Kavuşacağı iyi bir durumu, kıymetini bilmeyerek reddetmek; istememek, değerlendirememek"
Kıssadan hisse almak;Bir olaydan, anlatılan bir hikâyeden ders almak
Kıt kanaat (geçinmek);Yoksulluk içinde, zar zor ve güçlükle (geçinmek)
Kıvamına gelmek;En uygun zamanında olmak, gerekli ve istenilen şartlar yerine gelmek, istenilen duruma gelmek
Kıyamet kopmak;Bir yerde çok gürültü ve patırtı kavga, telaş olmak
Kızarıp bozarmak;Utanarak renkten renge girmek, kimi duyguların etkisiyle yüzünün rengi değişmek
Kızıl (kızılca) kıyamet kopmak;"Bir meselede büyük, aşırı, gürültülü bir kavgaya yol açmak; yüksek sesli tartışma başlatmak"
Kilit noktası;Bütün işlerin çözümlenmesi ona bağlı olan önemli unsur, üzerinde durulması gereken en önemli nokta, makam veya yer
Kimseye eyvallah etmemek;Kimseden yardım ve iyilik beklememek, kimsenin minneti altına girmemek
Kirli çamaşırlarını ortaya dökmek;"Ayıp, suç ve kusurlarını, gizli kalmış yolsuzluklarını açığa çıkarmak; açıklamak, söylemek"
Kitabına uydurmak;Yasal olmayan bir işi kimi boşluklardan yararlanarak yasalmış gibi göstermek
Kokusu çıkmak;Gizli yapılmış bir iş, daha sonra herkes tarafından bilinir olmaya başlamak
Kolaçan etmek;Çevresini ya da kendisinden istenilen yeri dolaşıp ne var ne yok diye bakmak, olup biteni anlamak amacıyla dolaşmak
